0,4.6,3.6,1.0,0.2,1.0,0.0,0.0
1,4.5,2.3,1.3,0.3,1.0,0.0,0.0
2,5.0,3.4,1.6,0.4,1.0,0.0,0.0
3,5.1,3.7,1.5,0.4,1.0,0.0,0.0
4,5.2,4.1,1.5,0.1,1.0,0.0,0.0
5,5.0,3.5,1.3,0.3,1.0,0.0,0.0
6,5.1,3.5,1.4,0.2,1.0,0.0,0.0
7,4.8,3.4,1.9,0.2,1.0,0.0,0.0
8,5.1,3.4,1.5,0.2,1.0,0.0,0.0
9,5.4,3.7,1.5,0.2,1.0,0.0,0.0
10,5.1,3.8,1.6,0.2,1.0,0.0,0.0
11,5.4,3.9,1.7,0.4,1.0,0.0,0.0
12,5.3,3.7,1.5,0.2,1.0,0.0,0.0
13,5.0,3.5,1.6,0.6,1.0,0.0,0.0
14,4.4,3.2,1.3,0.2,1.0,0.0,0.0
15,5.8,4.0,1.2,0.2,1.0,0.0,0.0
16,5.1,3.8,1.9,0.4,1.0,0.0,0.0
17,4.6,3.1,1.5,0.2,1.0,0.0,0.0
18,4.7,3.2,1.6,0.2,1.0,0.0,0.0
19,4.9,3.6,1.4,0.1,1.0,0.0,0.0
20,5.6,3.0,4.1,1.3,0.0,1.0,0.0
21,5.7,2.9,4.2,1.3,0.0,1.0,0.0
22,5.6,3.0,4.5,1.5,0.0,1.0,0.0
23,6.1,3.0,4.6,1.4,0.0,1.0,0.0
24,6.1,2.8,4.0,1.3,0.0,1.0,0.0
25,6.4,2.9,4.3,1.3,0.0,1.0,0.0
26,5.4,3.0,4.5,1.5,0.0,1.0,0.0
27,5.8,2.7,4.1,1.0,0.0,1.0,0.0
28,7.0,3.2,4.7,1.4,0.0,1.0,0.0
29,5.7,3.0,4.2,1.2,0.0,1.0,0.0
30,6.6,2.9,4.6,1.3,0.0,1.0,0.0
31,6.3,2.5,4.9,1.5,0.0,1.0,0.0
32,5.7,2.8,4.5,1.3,0.0,1.0,0.0
33,5.6,2.5,3.9,1.1,0.0,1.0,0.0
34,5.9,3.0,4.2,1.5,0.0,1.0,0.0
35,6.0,2.7,5.1,1.6,0.0,1.0,0.0
36,5.5,2.3,4.0,1.3,0.0,1.0,0.0
37,6.4,2.8,5.6,2.2,0.0,0.0,1.0
38,7.2,3.0,5.8,1.6,0.0,0.0,1.0
39,6.0,2.2,5.0,1.5,0.0,0.0,1.0
